Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,10nF,
C2,C_0603,1,100nF,
C3,C_0603_,1,100nF,
C4,C_0805_,1,2.2uF,
C5,C_0805_,1,10uF,
D1,LED-RGB-1.6x1.6,1,RGB,
D2,D_1206_,1,Schottky,
"J1, J2",Molex_MiniSPOX_H4RA,2,Conn_01x04,
J3,Shelly,1,Shelly,
L1,L_4x4_,1,6.8uH,
Q1,SOT-323_SC-70,1,PMF250XNEX,
R1,R_0603,1,680R,
R2,R_0603,1,2K,
R3,R_0603,1,220R,
R4,R_0603,1,10K,
R5,R_0603,1,100k 1% or 0R,
R6,R_0603,1,30k 1% or NF,
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,
U2,RegulatorBlockFB,1,LMR16006+FB,
